post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
160278092.all-about-psychology-newsletter-3ad,2025-04-01T14:03:07.568Z,true,2025-04-01T14:03:07.645Z,2025-04-01T14:03:07.645Z,newsletter,everyone,All About Psychology Newsletter,Embracing Uncertainty. Abraham Maslow. Why do I get so impatient?,
159746127.how-to-stop-overthinking,2025-03-24T19:05:25.163Z,true,2025-03-24T19:05:25.281Z,2025-03-24T19:05:25.281Z,newsletter,everyone,How to Stop Overthinking,Science-Backed Strategies to Break the Cycle,
159534548.all-about-psychology-newsletter-509,2025-03-21T11:06:30.885Z,true,2025-03-21T11:06:30.973Z,2025-03-21T11:06:30.973Z,newsletter,everyone,All About Psychology Newsletter,Airport Psychology. Stroop Effect. Psychology Word Search Puzzles. Rosy Retrospection.,
159123375.the-authoritarian-personality,2025-03-15T17:36:04.086Z,true,2025-03-15T17:36:04.166Z,2025-03-15T17:36:04.166Z,newsletter,everyone,The Authoritarian Personality,Then and Now,
158164887.nature-imagery-and-mental-well-being,2025-03-01T18:30:48.433Z,true,2025-03-01T18:30:48.516Z,2025-03-01T18:30:48.516Z,newsletter,everyone,Nature Imagery and Mental Well-Being,,
158159230.all-about-psychology-newsletter-0e3,2025-03-08T16:24:29.212Z,true,2025-03-08T16:24:29.280Z,2025-03-08T16:24:29.280Z,newsletter,everyone,All About Psychology Newsletter,"Hybristophilia: The Psychology Behind Attraction to Criminals. Eminent Women in Psychology. Self, Consciousness, and Being: The Transcendent Perspective. What is an enmeshed relationship?",
157738031.interview-with-professor-richard,2025-02-23T13:41:28.501Z,true,2025-02-23T13:41:28.621Z,2025-02-23T13:41:28.621Z,newsletter,everyone,Interview with Professor Richard Nisbett,"Exploring the Mind: Human Reasoning, Intelligence, and the Science of Thought",
157312667.in-memory-of-wilhelm-wundt,2025-02-17T12:58:47.203Z,true,2025-02-17T12:58:47.285Z,2025-02-17T12:58:47.285Z,newsletter,everyone,In Memory of Wilhelm Wundt,,
156846579.all-about-psychology-newsletter-61b,2025-02-10T19:11:43.079Z,true,2025-02-10T19:11:43.199Z,2025-02-10T19:11:43.199Z,newsletter,everyone,All About Psychology Newsletter,"The Brainwashing Myth. The Eyes, They (Sometimes) Lie. The Bobo Doll Experiment. The Psychology of Celebrity Crushes.",
156171245.cute-aggression,2025-01-31T15:39:51.835Z,true,2025-01-31T15:39:51.912Z,2025-01-31T15:39:51.912Z,newsletter,everyone,Cute Aggression,"Discover the science of cute aggression: why we want to squish adorable things, its evolutionary roots, and how it helps regulate emotions.",
155612531.all-about-psychology-newsletter-0f6,2025-01-24T18:40:07.763Z,true,2025-01-24T18:40:07.861Z,2025-01-24T18:40:07.861Z,newsletter,everyone,All About Psychology Newsletter,The Hedonistic Treadmill. The 'Psychopath': A Chilling Insight from 1885. The Psychology of Sudden Religious Conversion. Coping with Loneliness.,
155009352.interview-with-professor-elizabeth,2025-01-17T12:07:58.752Z,true,2025-01-17T12:07:58.837Z,2025-01-17T12:07:58.837Z,newsletter,everyone,Interview With Professor Elizabeth Loftus,"I recently had the honor of interviewing Professor Elizabeth Loftus, a world-renowned expert on memory, who shared fascinating insights into how our memories can be shaped, altered, and even created.",
154479484.the-psychology-symbol,2025-01-09T18:36:34.803Z,true,2025-01-09T18:36:34.918Z,2025-01-09T18:36:34.918Z,newsletter,everyone,The Psychology Symbol,"Origins, Meaning, and Legacy.",
154077055.all-about-psychology-newsletter-e8d,2025-01-04T11:45:48.663Z,true,2025-01-04T11:45:48.765Z,2025-01-04T11:45:48.765Z,newsletter,everyone,All About Psychology Newsletter,What is Déjà vu? The Three Christs of Ypsilanti. The Influence of Darwin on Psychology. What Does Sensory Deprivation Do to a Person?,
